year,week,lon,lat,gear,effort,taxon,tax_code,landings,length_class,filename,quarterx,countryx
2006,NA,-7.5,48.25,BT2,NA,Cod,COD,0.0761,O15M,DCF_landings,2,ENG
2006,NA,-6.5,48.25,BT2,NA,Cod,COD,0.0117,O15M,DCF_landings,1,ENG
2006,NA,-6.5,48.25,BT2,NA,Cod,COD,0.2991,O15M,DCF_landings,2,ENG
2006,NA,-6.5,48.25,BT2,NA,Cod,COD,0.2851,O15M,DCF_landings,3,ENG
2006,NA,-6.5,48.25,BT2,NA,Cod,COD,0.2834,O15M,DCF_landings,4,ENG
2006,NA,-7.5,48.75,BT2,NA,Cod,COD,0.3749,O15M,DCF_landings,1,ENG
2006,NA,-7.5,48.75,BT2,NA,Cod,COD,1.0591,O15M,DCF_landings,2,ENG
2006,NA,-7.5,48.75,BT2,NA,Cod,COD,0.5111,O15M,DCF_landings,3,ENG
2006,NA,-7.5,48.75,BT2,NA,Cod,COD,0.1592,O15M,DCF_landings,4,ENG
2006,NA,-6.5,48.75,BT2,NA,Cod,COD,0.7745,O15M,DCF_landings,1,ENG
2006,NA,-6.5,48.75,BT2,NA,Cod,COD,0.6735,O15M,DCF_landings,2,ENG
2006,NA,-6.5,48.75,BT2,NA,Cod,COD,1.2987,O15M,DCF_landings,3,ENG
2006,NA,-6.5,48.75,BT2,NA,Cod,COD,0.2785,O15M,DCF_landings,4,ENG
2006,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0232,O15M,DCF_landings,2,ENG
2006,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0252,O15M,DCF_landings,3,ENG
2006,NA,-8.5,49.25,BT2,NA,Cod,COD,0.1099,O15M,DCF_landings,2,ENG
2006,NA,-7.5,49.25,BT2,NA,Cod,COD,0.5669,O15M,DCF_landings,1,ENG
2006,NA,-7.5,49.25,BT2,NA,Cod,COD,0.9613,O15M,DCF_landings,2,ENG
2006,NA,-7.5,49.25,BT2,NA,Cod,COD,3.6037,O15M,DCF_landings,3,ENG
2006,NA,-7.5,49.25,BT2,NA,Cod,COD,0.987,O15M,DCF_landings,4,ENG
2006,NA,-6.5,49.25,BT2,NA,Cod,COD,1.8377,O15M,DCF_landings,1,ENG
2006,NA,-6.5,49.25,BT2,NA,Cod,COD,2.5009,O15M,DCF_landings,2,ENG
2006,NA,-6.5,49.25,BT2,NA,Cod,COD,5.1305,O15M,DCF_landings,3,ENG
2006,NA,-6.5,49.25,BT2,NA,Cod,COD,2.7207,O15M,DCF_landings,4,ENG
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,1.2045,O15M,DCF_landings,1,ENG
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,0.045,O15M,DCF_landings,1,BEL
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,1.5411,O15M,DCF_landings,2,ENG
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,0.138,O15M,DCF_landings,2,BEL
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,1.0599,O15M,DCF_landings,3,ENG
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,0.105,O15M,DCF_landings,3,BEL
2006,NA,-5.5,49.25,BT2,NA,Cod,COD,1.748,O15M,DCF_landings,4,ENG
2006,NA,-7.5,49.75,BT2,NA,Cod,COD,0.0438,O15M,DCF_landings,1,ENG
2006,NA,-7.5,49.75,BT2,NA,Cod,COD,1.1913,O15M,DCF_landings,2,ENG
2006,NA,-7.5,49.75,BT2,NA,Cod,COD,0.765,O15M,DCF_landings,2,BEL
2006,NA,-7.5,49.75,BT2,NA,Cod,COD,2.4176,O15M,DCF_landings,3,ENG
2006,NA,-7.5,49.75,BT2,NA,Cod,COD,0.08,O15M,DCF_landings,3,BEL
2006,NA,-6.5,49.75,BT2,NA,Cod,COD,0.2087,O15M,DCF_landings,1,ENG
2006,NA,-6.5,49.75,BT2,NA,Cod,COD,2.277,O15M,DCF_landings,2,ENG
2006,NA,-6.5,49.75,BT2,NA,Cod,COD,0.028,O15M,DCF_landings,2,BEL
2006,NA,-6.5,49.75,BT2,NA,Cod,COD,3.0079,O15M,DCF_landings,3,ENG
2006,NA,-6.5,49.75,BT2,NA,Cod,COD,1.1147,O15M,DCF_landings,4,ENG
2006,NA,-5.5,49.75,BT2,NA,Cod,COD,0.1858,O15M,DCF_landings,1,ENG
2006,NA,-5.5,49.75,BT2,NA,Cod,COD,0.4843,O15M,DCF_landings,2,ENG
2006,NA,-5.5,49.75,BT2,NA,Cod,COD,0.058,O15M,DCF_landings,2,BEL
2006,NA,-5.5,49.75,BT2,NA,Cod,COD,0.1637,O15M,DCF_landings,3,ENG
2006,NA,-5.5,49.75,BT2,NA,Cod,COD,1.4442,O15M,DCF_landings,4,ENG
2006,NA,-7.5,50.25,BT2,NA,Cod,COD,0.4635,O15M,DCF_landings,2,ENG
2006,NA,-7.5,50.25,BT2,NA,Cod,COD,0.055,O15M,DCF_landings,2,BEL
2006,NA,-7.5,50.25,BT2,NA,Cod,COD,0.6261,O15M,DCF_landings,3,ENG
2006,NA,-6.5,50.25,BT2,NA,Cod,COD,0.7866,O15M,DCF_landings,1,ENG
2006,NA,-6.5,50.25,BT2,NA,Cod,COD,0.024,O15M,DCF_landings,1,BEL
2006,NA,-6.5,50.25,BT2,NA,Cod,COD,1.6166,O15M,DCF_landings,2,ENG
2006,NA,-6.5,50.25,BT2,NA,Cod,COD,0.421,O15M,DCF_landings,2,BEL
2006,NA,-6.5,50.25,BT2,NA,Cod,COD,0.954,O15M,DCF_landings,3,ENG
2006,NA,-6.5,50.25,BT2,NA,Cod,COD,1.0466,O15M,DCF_landings,4,ENG
2006,NA,-5.5,50.25,BT2,NA,Cod,COD,3.431,O15M,DCF_landings,1,ENG
2006,NA,-5.5,50.25,BT2,NA,Cod,COD,0.338,O15M,DCF_landings,1,BEL
2006,NA,-5.5,50.25,BT2,NA,Cod,COD,0.4405,O15M,DCF_landings,2,ENG
2006,NA,-5.5,50.25,BT2,NA,Cod,COD,0.977,O15M,DCF_landings,2,BEL
2006,NA,-5.5,50.25,BT2,NA,Cod,COD,0.0034,O15M,DCF_landings,4,ENG
2006,NA,-9.5,50.75,BT2,NA,Cod,COD,0.0422,O15M,DCF_landings,1,ENG
2006,NA,-9.5,50.75,BT2,NA,Cod,COD,0.3535,O15M,DCF_landings,2,ENG
2006,NA,-8.5,50.75,BT2,NA,Cod,COD,0.0599,O15M,DCF_landings,2,ENG
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,1.7646,O15M,DCF_landings,1,ENG
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,2.65,O15M,DCF_landings,1,BEL
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,0.37,O15M,DCF_landings,2,ENG
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,0.549,O15M,DCF_landings,2,BEL
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,2.961,O15M,DCF_landings,3,ENG
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,3.0581,O15M,DCF_landings,4,ENG
2006,NA,-6.5,50.75,BT2,NA,Cod,COD,0.685,O15M,DCF_landings,4,BEL
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,2.0286,O15M,DCF_landings,1,ENG
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,13.522,O15M,DCF_landings,1,BEL
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,1.9194,O15M,DCF_landings,2,ENG
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,27.837,O15M,DCF_landings,2,BEL
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,0.4068,O15M,DCF_landings,3,ENG
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,0.875,O15M,DCF_landings,3,BEL
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,1.0358,O15M,DCF_landings,4,ENG
2006,NA,-5.5,50.75,BT2,NA,Cod,COD,3.1,O15M,DCF_landings,4,BEL
2006,NA,-9.5,51.25,BT2,NA,Cod,COD,0.0278,O15M,DCF_landings,2,ENG
2006,NA,-8.5,51.25,BT2,NA,Cod,COD,0.1697,O15M,DCF_landings,1,ENG
2006,NA,-6.5,51.25,BT2,NA,Cod,COD,0.3396,O15M,DCF_landings,1,ENG
2006,NA,-6.5,51.25,BT2,NA,Cod,COD,0.085,O15M,DCF_landings,2,BEL
2006,NA,-6.5,51.25,BT2,NA,Cod,COD,0.1232,O15M,DCF_landings,3,ENG
2006,NA,-6.5,51.25,BT2,NA,Cod,COD,0.143,O15M,DCF_landings,3,BEL
2006,NA,-6.5,51.25,BT2,NA,Cod,COD,0.235,O15M,DCF_landings,4,BEL
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,5.357,O15M,DCF_landings,1,BEL
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,0.0543,O15M,DCF_landings,2,ENG
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,2.38,O15M,DCF_landings,2,BEL
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,0.4358,O15M,DCF_landings,3,ENG
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,3.703,O15M,DCF_landings,3,BEL
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,0.1636,O15M,DCF_landings,4,ENG
2006,NA,-5.5,51.25,BT2,NA,Cod,COD,5.218,O15M,DCF_landings,4,BEL
2006,NA,-7.5,51.75,BT2,NA,Cod,COD,0.22,O15M,DCF_landings,4,BEL
2006,NA,-6.5,51.75,BT2,NA,Cod,COD,1.238,O15M,DCF_landings,1,BEL
2006,NA,-6.5,51.75,BT2,NA,Cod,COD,1.3608,O15M,DCF_landings,2,ENG
2006,NA,-6.5,51.75,BT2,NA,Cod,COD,5.649,O15M,DCF_landings,2,BEL
2006,NA,-6.5,51.75,BT2,NA,Cod,COD,0.297,O15M,DCF_landings,3,ENG
2006,NA,-6.5,51.75,BT2,NA,Cod,COD,0.82,O15M,DCF_landings,3,BEL
2006,NA,-6.5,51.75,BT2,NA,Cod,COD,2.076,O15M,DCF_landings,4,BEL
2006,NA,-5.5,51.75,BT2,NA,Cod,COD,0.374,O15M,DCF_landings,1,BEL
2006,NA,-5.5,51.75,BT2,NA,Cod,COD,0.3307,O15M,DCF_landings,2,ENG
2006,NA,-5.5,51.75,BT2,NA,Cod,COD,0.11,O15M,DCF_landings,2,BEL
2006,NA,-5.5,51.75,BT2,NA,Cod,COD,0.0707,O15M,DCF_landings,3,ENG
2006,NA,-5.5,51.75,BT2,NA,Cod,COD,0.12,O15M,DCF_landings,4,BEL
2007,NA,-7.5,48.25,BT2,NA,Cod,COD,0.0983,O15M,DCF_landings,2,ENG
2007,NA,-7.5,48.25,BT2,NA,Cod,COD,0.0403,O15M,DCF_landings,3,ENG
2007,NA,-7.5,48.25,BT2,NA,Cod,COD,0.0414,O15M,DCF_landings,4,ENG
2007,NA,-6.5,48.25,BT2,NA,Cod,COD,0.1127,O15M,DCF_landings,1,ENG
2007,NA,-6.5,48.25,BT2,NA,Cod,COD,0.164,O15M,DCF_landings,2,ENG
2007,NA,-6.5,48.25,BT2,NA,Cod,COD,0.1124,O15M,DCF_landings,3,ENG
2007,NA,-6.5,48.25,BT2,NA,Cod,COD,0.4449,O15M,DCF_landings,4,ENG
2007,NA,-7.5,48.75,BT2,NA,Cod,COD,0.6065,O15M,DCF_landings,1,ENG
2007,NA,-7.5,48.75,BT2,NA,Cod,COD,2.7723,O15M,DCF_landings,2,ENG
2007,NA,-7.5,48.75,BT2,NA,Cod,COD,1.3806,O15M,DCF_landings,3,ENG
2007,NA,-7.5,48.75,BT2,NA,Cod,COD,1.3868,O15M,DCF_landings,4,ENG
2007,NA,-6.5,48.75,BT2,NA,Cod,COD,0.8054,O15M,DCF_landings,1,ENG
2007,NA,-6.5,48.75,BT2,NA,Cod,COD,2.2358,O15M,DCF_landings,2,ENG
2007,NA,-6.5,48.75,BT2,NA,Cod,COD,1.3085,O15M,DCF_landings,3,ENG
2007,NA,-6.5,48.75,BT2,NA,Cod,COD,1.0715,O15M,DCF_landings,4,ENG
2007,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0163,O15M,DCF_landings,1,ENG
2007,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0424,O15M,DCF_landings,2,ENG
2007,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0245,O15M,DCF_landings,4,ENG
2007,NA,-7.5,49.25,BT2,NA,Cod,COD,0.1984,O15M,DCF_landings,1,ENG
2007,NA,-7.5,49.25,BT2,NA,Cod,COD,1,O15M,DCF_landings,2,ENG
2007,NA,-7.5,49.25,BT2,NA,Cod,COD,2.7108,O15M,DCF_landings,3,ENG
2007,NA,-7.5,49.25,BT2,NA,Cod,COD,1.3174,O15M,DCF_landings,4,ENG
2007,NA,-6.5,49.25,BT2,NA,Cod,COD,1.3764,O15M,DCF_landings,1,ENG
2007,NA,-6.5,49.25,BT2,NA,Cod,COD,3.4116,O15M,DCF_landings,2,ENG
2007,NA,-6.5,49.25,BT2,NA,Cod,COD,5.4014,O15M,DCF_landings,3,ENG
2007,NA,-6.5,49.25,BT2,NA,Cod,COD,3.5034,O15M,DCF_landings,4,ENG
2007,NA,-5.5,49.25,BT2,NA,Cod,COD,0.7656,O15M,DCF_landings,1,ENG
2007,NA,-5.5,49.25,BT2,NA,Cod,COD,0.7461,O15M,DCF_landings,2,ENG
2007,NA,-5.5,49.25,BT2,NA,Cod,COD,0.14,O15M,DCF_landings,2,BEL
2007,NA,-5.5,49.25,BT2,NA,Cod,COD,1.8864,O15M,DCF_landings,3,ENG
2007,NA,-5.5,49.25,BT2,NA,Cod,COD,1.6765,O15M,DCF_landings,4,ENG
2007,NA,-5.5,49.25,BT2,NA,Cod,COD,0.454,O15M,DCF_landings,4,BEL
2007,NA,-7.5,49.75,BT2,NA,Cod,COD,0.1829,O15M,DCF_landings,2,ENG
2007,NA,-7.5,49.75,BT2,NA,Cod,COD,0.048,O15M,DCF_landings,2,BEL
2007,NA,-7.5,49.75,BT2,NA,Cod,COD,0.2135,O15M,DCF_landings,3,ENG
2007,NA,-7.5,49.75,BT2,NA,Cod,COD,0.0863,O15M,DCF_landings,4,ENG
2007,NA,-6.5,49.75,BT2,NA,Cod,COD,0.0877,O15M,DCF_landings,1,ENG
2007,NA,-6.5,49.75,BT2,NA,Cod,COD,0.4987,O15M,DCF_landings,2,ENG
2007,NA,-6.5,49.75,BT2,NA,Cod,COD,1.461,O15M,DCF_landings,3,ENG
2007,NA,-6.5,49.75,BT2,NA,Cod,COD,0.4559,O15M,DCF_landings,4,ENG
2007,NA,-5.5,49.75,BT2,NA,Cod,COD,0.7692,O15M,DCF_landings,1,ENG
2007,NA,-5.5,49.75,BT2,NA,Cod,COD,0.371,O15M,DCF_landings,2,ENG
2007,NA,-5.5,49.75,BT2,NA,Cod,COD,0.013,O15M,DCF_landings,2,BEL
2007,NA,-5.5,49.75,BT2,NA,Cod,COD,0.4963,O15M,DCF_landings,3,ENG
2007,NA,-5.5,49.75,BT2,NA,Cod,COD,0.8671,O15M,DCF_landings,4,ENG
2007,NA,-7.5,50.25,BT2,NA,Cod,COD,0.2544,O15M,DCF_landings,2,ENG
2007,NA,-7.5,50.25,BT2,NA,Cod,COD,0.0431,O15M,DCF_landings,4,ENG
2007,NA,-6.5,50.25,BT2,NA,Cod,COD,0.8486,O15M,DCF_landings,1,ENG
2007,NA,-6.5,50.25,BT2,NA,Cod,COD,0.415,O15M,DCF_landings,1,BEL
2007,NA,-6.5,50.25,BT2,NA,Cod,COD,0.637,O15M,DCF_landings,2,ENG
2007,NA,-6.5,50.25,BT2,NA,Cod,COD,0.042,O15M,DCF_landings,2,BEL
2007,NA,-6.5,50.25,BT2,NA,Cod,COD,0.6865,O15M,DCF_landings,3,ENG
2007,NA,-6.5,50.25,BT2,NA,Cod,COD,0.7275,O15M,DCF_landings,4,ENG
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,7.8071,O15M,DCF_landings,1,ENG
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,2.998,O15M,DCF_landings,1,BEL
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,1.1475,O15M,DCF_landings,2,ENG
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,4.587,O15M,DCF_landings,2,BEL
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,0.0798,O15M,DCF_landings,3,ENG
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,0.2602,O15M,DCF_landings,4,ENG
2007,NA,-5.5,50.25,BT2,NA,Cod,COD,0.005,O15M,DCF_landings,4,BEL
2007,NA,-7.5,50.75,BT2,NA,Cod,COD,0.3574,O15M,DCF_landings,3,ENG
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,4.3162,O15M,DCF_landings,1,ENG
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,2.224,O15M,DCF_landings,1,BEL
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,2.1462,O15M,DCF_landings,2,ENG
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,0.799,O15M,DCF_landings,2,BEL
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,2.3672,O15M,DCF_landings,3,ENG
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,3.8101,O15M,DCF_landings,4,ENG
2007,NA,-6.5,50.75,BT2,NA,Cod,COD,0.04,O15M,DCF_landings,4,BEL
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,1.3153,O15M,DCF_landings,1,ENG
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,21.124,O15M,DCF_landings,1,BEL
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,3.2407,O15M,DCF_landings,2,ENG
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,25.203,O15M,DCF_landings,2,BEL
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,0.1696,O15M,DCF_landings,3,ENG
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,0.575,O15M,DCF_landings,3,BEL
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,1.6818,O15M,DCF_landings,4,ENG
2007,NA,-5.5,50.75,BT2,NA,Cod,COD,1.003,O15M,DCF_landings,4,BEL
2007,NA,-7.5,51.25,BT2,NA,Cod,COD,0.2,O15M,DCF_landings,1,BEL
2007,NA,-7.5,51.25,BT2,NA,Cod,COD,0.11,O15M,DCF_landings,2,BEL
2007,NA,-6.5,51.25,BT2,NA,Cod,COD,0.0811,O15M,DCF_landings,1,ENG
2007,NA,-6.5,51.25,BT2,NA,Cod,COD,0.491,O15M,DCF_landings,2,BEL
2007,NA,-6.5,51.25,BT2,NA,Cod,COD,0.1249,O15M,DCF_landings,3,ENG
2007,NA,-6.5,51.25,BT2,NA,Cod,COD,0.047,O15M,DCF_landings,3,BEL
2007,NA,-6.5,51.25,BT2,NA,Cod,COD,0.79,O15M,DCF_landings,4,BEL
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,1.389,O15M,DCF_landings,1,BEL
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,0.0243,O15M,DCF_landings,2,ENG
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,2.017,O15M,DCF_landings,2,BEL
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,0.0423,O15M,DCF_landings,3,ENG
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,2.139,O15M,DCF_landings,3,BEL
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,0.0043,O15M,DCF_landings,4,ENG
2007,NA,-5.5,51.25,BT2,NA,Cod,COD,3.44,O15M,DCF_landings,4,BEL
2007,NA,-7.5,51.75,BT2,NA,Cod,COD,0.13,O15M,DCF_landings,1,BEL
2007,NA,-7.5,51.75,BT2,NA,Cod,COD,0.53,O15M,DCF_landings,2,BEL
2007,NA,-6.5,51.75,BT2,NA,Cod,COD,0.98,O15M,DCF_landings,1,BEL
2007,NA,-6.5,51.75,BT2,NA,Cod,COD,4.675,O15M,DCF_landings,2,BEL
2007,NA,-6.5,51.75,BT2,NA,Cod,COD,2.218,O15M,DCF_landings,3,BEL
2007,NA,-6.5,51.75,BT2,NA,Cod,COD,1.287,O15M,DCF_landings,4,BEL
2007,NA,-5.5,51.75,BT2,NA,Cod,COD,0.091,O15M,DCF_landings,2,ENG
2007,NA,-5.5,51.75,BT2,NA,Cod,COD,0.04,O15M,DCF_landings,2,BEL
2007,NA,-5.5,51.75,BT2,NA,Cod,COD,0.0897,O15M,DCF_landings,3,ENG
2007,NA,-5.5,51.75,BT2,NA,Cod,COD,0.5,O15M,DCF_landings,3,BEL
2007,NA,-5.5,51.75,BT2,NA,Cod,COD,0.605,O15M,DCF_landings,4,BEL
2008,NA,-7.5,48.25,BT2,NA,Cod,COD,0.2258,O15M,DCF_landings,2,ENG
2008,NA,-7.5,48.25,BT2,NA,Cod,COD,0.2315,O15M,DCF_landings,3,ENG
2008,NA,-6.5,48.25,BT2,NA,Cod,COD,0.1614,O15M,DCF_landings,1,ENG
2008,NA,-6.5,48.25,BT2,NA,Cod,COD,0.3732,O15M,DCF_landings,2,ENG
2008,NA,-8.5,48.75,BT2,NA,Cod,COD,0.0342,O15M,DCF_landings,2,ENG
2008,NA,-7.5,48.75,BT2,NA,Cod,COD,1.0239,O15M,DCF_landings,1,ENG
2008,NA,-7.5,48.75,BT2,NA,Cod,COD,2.2973,O15M,DCF_landings,2,ENG
2008,NA,-7.5,48.75,BT2,NA,Cod,COD,0.6083,O15M,DCF_landings,3,ENG
2008,NA,-7.5,48.75,BT2,NA,Cod,COD,0.0603,O15M,DCF_landings,4,ENG
2008,NA,-6.5,48.75,BT2,NA,Cod,COD,0.6094,O15M,DCF_landings,1,ENG
2008,NA,-6.5,48.75,BT2,NA,Cod,COD,1.2029,O15M,DCF_landings,2,ENG
2008,NA,-6.5,48.75,BT2,NA,Cod,COD,1.1368,O15M,DCF_landings,3,ENG
2008,NA,-6.5,48.75,BT2,NA,Cod,COD,0.6792,O15M,DCF_landings,4,ENG
2008,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0311,O15M,DCF_landings,1,ENG
2008,NA,-5.5,48.75,BT2,NA,Cod,COD,0.1743,O15M,DCF_landings,2,ENG
2008,NA,-5.5,48.75,BT2,NA,Cod,COD,0.0423,O15M,DCF_landings,3,ENG
2008,NA,-7.5,49.25,BT2,NA,Cod,COD,0.1477,O15M,DCF_landings,1,ENG
2008,NA,-7.5,49.25,BT2,NA,Cod,COD,0.1159,O15M,DCF_landings,2,ENG
2008,NA,-7.5,49.25,BT2,NA,Cod,COD,0.6993,O15M,DCF_landings,3,ENG
2008,NA,-7.5,49.25,BT2,NA,Cod,COD,0.1057,O15M,DCF_landings,4,ENG
2008,NA,-6.5,49.25,BT2,NA,Cod,COD,0.3883,O15M,DCF_landings,1,ENG
2008,NA,-6.5,49.25,BT2,NA,Cod,COD,0.9349,O15M,DCF_landings,2,ENG
2008,NA,-6.5,49.25,BT2,NA,Cod,COD,4.321,O15M,DCF_landings,3,ENG
2008,NA,-6.5,49.25,BT2,NA,Cod,COD,2.347,O15M,DCF_landings,4,ENG
2008,NA,-5.5,49.25,BT2,NA,Cod,COD,0.1579,O15M,DCF_landings,1,ENG
2008,NA,-5.5,49.25,BT2,NA,Cod,COD,1.5315,O15M,DCF_landings,2,ENG
